Entity,Occurrences,Keep
the next few experiments,1,yes
our next experiments,1,yes
the above non-linear model,1,yes
how powerful response surface methods,1,yes
successive least squares models,1,yes
the underlying surface,1,yes
those least squares models,1,yes
fractional and full factorials,1,yes
basic optimization theory,1,yes
response surface modelling,1,yes
the main factors,1,yes
full or fractional factorials,1,yes
these higher interaction terms,1,yes
any main effects,1,yes
the last best response,1,yes
these additional factorial experiments,1,yes
the linear model estimate,1,yes
- curvature,1,yes
the actual center point response(s,1,yes
the model's effects,1,yes
a quadratic model,1,yes
this estimated response surface,1,yes
your sequential experiments,1,yes
https://www.youtube.com/watch?v=lrcvok7ve0q&list=plhunybeflmeoprut1sukkmryovd4wsxje&index=59 response surface methods,1,yes
just a single response,1,yes
a multi-objective response,1,yes
the response surfaces,1,yes
the optimization,1,yes
other slowly varying disturbances,1,yes
surface methods,1,yes
that estimate curvature,1,yes
the central composite design,1,yes
every experimental run,1,yes
hypothesis,1,yes
* experiment,1,yes
the next hypothesis,1,yes
an alternative hypothesis,1,yes
d. an initial experiment,1,yes
d. several factors,1,yes
structured experiments,1,yes
little effect,1,yes
only those two factors,1,yes
doe-rsm>` experiments,1,yes
the negative-slope,1,yes
doe-yield-pressure-impurity-correlation,1,yes
a :ref:`least squares model,1,yes
correlation,1,yes
impurity levels,1,yes
doe/yield-pressure-impurity-correlation.png,1,yes
/doe/yield-pregon.svg,1,yes
no cause-and-effect relationship,1,yes
constant impurity level,1,yes
time-based effects,1,yes
doe-evop,1,yes
